Map,Key,Sound
"HwPrc SnDr, FieldDr",36,Hit LH
"HwPrc SnDr, FieldDr",38,Hit RH
"HwPrc SnDr, FieldDr",40,Edge LH
"HwPrc SnDr, FieldDr",41,Edge RH
"HwPrc SnDr, FieldDr",43,Flam
"HwPrc SnDr, FieldDr",45,Rim Shot
"HwPrc SnDr, FieldDr",47,Bounce
"HwPrc SnDr, FieldDr",48,Roll
"HwPrc SnDr, FieldDr",50,Roll DXF
"HwPrc SnDr, FieldDr",52,Roll Cresc
"HwPrc SnDr, FieldDr",53,Roll Cresc
"HwPrc SnDr, FieldDr",55,Roll Cresc
HwPrc Toms,36,"18"" Hit LH"
HwPrc Toms,38,"18"" Hit RH"
HwPrc Toms,40,"18"" Flam"
HwPrc Toms,41,"16""-A Hit LH"
HwPrc Toms,43,"16""-A Hit RH"
HwPrc Toms,45,"16""-A Flam"
HwPrc Toms,48,"16""-B Hit LH"
HwPrc Toms,50,"16""-B Hit RH"
HwPrc Toms,52,"16""-B Flam"
HwPrc Toms,53,"14"" Hit LH"
HwPrc Toms,55,"14"" Hit RH"
HwPrc Toms,57,"14"" Flam"
HwPrc Toms,60,"13"" Hit LH"
HwPrc Toms,62,"13"" Hit RH"
HwPrc Toms,64,"13"" Flam"
HwPrc Toms,65,"12"" Hit LH"
HwPrc Toms,67,"12"" Hit RH"
HwPrc Toms,69,"12"" Flam"
HwPrc Toms,72,"10"" Hit LH"
HwPrc Toms,74,"10"" Hit RH"
HwPrc Toms,76,"10"" Flam"
HwPrc Toms,77,"8"" Hit LH"
HwPrc Toms,79,"8"" Hit RH"
HwPrc Toms,81,"8"" Flam"
HwPrc TaosDr,36,Hit Mallet
HwPrc TaosDr,38,Hit Mallet
HwPrc SusCym Cresc,60,Very Fast
HwPrc SusCym Cresc,62,Fast
HwPrc SusCym Cresc,64,Med
HwPrc SusCym Cresc,65,Slow
HwPrc SusCym Cresc,67,Very Fast Choke
HwPrc SusCym Cresc,69,Fast Choke
HwPrc SusCym Cresc,71,Med Choke
HwPrc SusCym Cresc,72,Slow Choke
HwPrc Piatti,36,22-ZK Crash
HwPrc Piatti,38,22-ZK Choke Med
HwPrc Piatti,40,22-ZK Choke Fast
HwPrc Piatti,41,20-Z Crash
HwPrc Piatti,43,20-Z Choke Med
HwPrc Piatti,45,20-Z Choke Fast
HwPrc Piatti,47,20-C Crash
HwPrc Piatti,48,20-C Choke Med
HwPrc Piatti,50,20-C Choke Fast
HwPrc Piatti,52,19-Z Crash
HwPrc Piatti,53,19-Z Choke Med
HwPrc Piatti,55,19-Z Choke Fast
HwPrc Piatti,57,19-ZA Crash
HwPrc Piatti,59,19-ZA Choke Med
HwPrc Piatti,60,19-ZA Choke Fast
HwPrc Piatti,62,19-S Crash
HwPrc Piatti,64,19-S Choke Med
HwPrc Piatti,65,19-S Choke Fast
HwPrc Piatti,67,17-I Crash
HwPrc Piatti,69,17-I Choke Med
HwPrc Piatti,71,17-I Choke Fast
HwPrc Piatti,72,16-S Crash
HwPrc Piatti,74,16-S Choke Med
HwPrc Piatti,76,16-S Choke Fast
HwPrc Piatti,77,15-OI Crash
HwPrc Piatti,79,15-OI Choke Med
HwPrc Piatti,81,15-OI Choke Fast
HwPrc Piatti,83,14-OZK Crash
HwPrc Piatti,84,14-OZK Choke Med
HwPrc Piatti,86,14-OZK Choke Fast
HwPrc Piatti,88,12-OZK Crash
HwPrc Piatti,89,12-OZK Choke Med
HwPrc Piatti,91,12-OZK Choke Fast
HwPrc Tam-Tam,36,Hit
HwPrc Tam-Tam,38,Choke
HwPrc Tam-Tam,40,Roll Cresc Fast
HwPrc Tam-Tam,41,Roll Cresc Med
HwPrc Tam-Tam,43,Roll Cresc Slow
HwPrc Tam-Tam,45,Bowed SFX
HwPrc Tam-Tam,47,Bowed SFX
HwPrc Tam-Tam,48,Bowed SFX
HwPrc Tam-Tam,50,Bowed SFX
HwPrc Tam-Tam,52,Bowed SFX
HwPrc Tam-Tam,53,Bowed SFX
HwPrc Tam-Tam,55,Bowed SFX
HwPrc Tam-Tam,57,Bowed SFX
HwPrc Tam-Tam,59,Bowed SFX
HwPrc Tam-Tam,60,Bowed SFX
HwPrc Tam-Tam,62,Bowed SFX
HwPrc Tam-Tam,64,Bowed SFX
HwPrc Tam-Tam,65,Scraped SFX
HwPrc Tam-Tam,67,Scraped SFX
HwPrc Tam-Tam,69,Scraped SFX
HwPrc Tam-Tam,71,Scraped SFX
HwPrc Triangle,36,[1] Hit
HwPrc Triangle,38,[1] Secco
HwPrc Triangle,40,[1] Roll
HwPrc Triangle,48,[2] Hit
HwPrc Triangle,50,[2] Secco
HwPrc Triangle,52,[2] Roll
HwPrc Triangle,60,[3] Hit
HwPrc Triangle,62,[3] Secco
HwPrc Triangle,64,[3] Roll
HwPrc Triangle,72,[4] Hit
HwPrc Triangle,74,[4] Secco
HwPrc Triangle,76,[4] Roll
HwPrc Triangle,84,[5] Hit
HwPrc Triangle,86,[5] Secco
HwPrc Triangle,88,[5] Roll
HwPrc Triangle,96,[6] Hit
HwPrc Triangle,98,[6] Secco
HwPrc Triangle,100,[6] Roll
HwPrc FingCym,36,[1] Hit
HwPrc FingCym,38,[1] Secco
HwPrc FingCym,40,[2] Hit
HwPrc FingCym,41,[2] Secco
HwPrc BrakeDr-Anv-MetRail,21,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,23,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,24,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,26,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,28,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,29,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,31,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,33,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,35,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,36,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,38,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,40,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,41,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,43,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,45,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,47,Brake Drum (?)
HwPrc BrakeDr-Anv-MetRail,48,Anvil (?)
HwPrc BrakeDr-Anv-MetRail,50,Anvil (?)
